# What LeanGeospatial proves about the matrices this dataset observed.
#
# One row per (matrix, kinds, predicate). entailed means the prover derived
# the predicate from the matrix; refuted means it derived its negation. Both
# are results; neither is the oracle's opinion. A pair the prover left open
# is absent.
#
# Regenerate with src/certify.py, which needs LeanGeospatial built. Reading
# this file does not.
#
# prover: LeanGeospatial 6772728790769adc892bb361effb22901821b74a
# claims: 176
matrix	a_kind	b_kind	predicate	verdict
2FF1FF212	area	area	sfContains	refuted
2FF1FF212	area	area	sfCrosses	refuted
2FF1FF212	area	area	sfDisjoint	refuted
2FF1FF212	area	area	sfEquals	refuted
2FF1FF212	area	area	sfIntersects	entailed
2FF1FF212	area	area	sfOverlaps	refuted
2FF1FF212	area	area	sfTouches	refuted
2FF1FF212	area	area	sfWithin	entailed
2FFF1F212	area	area	sfContains	refuted
2FFF1F212	area	area	sfCrosses	refuted
2FFF1F212	area	area	sfDisjoint	refuted
2FFF1F212	area	area	sfEquals	refuted
2FFF1F212	area	area	sfIntersects	entailed
2FFF1F212	area	area	sfOverlaps	refuted
2FFF1F212	area	area	sfTouches	refuted
2FFF1F212	area	area	sfWithin	entailed
2FFF1FFF2	area	area	sfContains	entailed
2FFF1FFF2	area	area	sfCrosses	refuted
2FFF1FFF2	area	area	sfDisjoint	refuted
2FFF1FFF2	area	area	sfEquals	entailed
2FFF1FFF2	area	area	sfIntersects	entailed
2FFF1FFF2	area	area	sfOverlaps	refuted
2FFF1FFF2	area	area	sfTouches	refuted
2FFF1FFF2	area	area	sfWithin	entailed
FF2F01212	area	area	sfContains	refuted
FF2F01212	area	area	sfCrosses	refuted
FF2F01212	area	area	sfDisjoint	refuted
FF2F01212	area	area	sfEquals	refuted
FF2F01212	area	area	sfIntersects	entailed
FF2F01212	area	area	sfOverlaps	refuted
FF2F01212	area	area	sfTouches	entailed
FF2F01212	area	area	sfWithin	refuted
FF2F11212	area	area	sfContains	refuted
FF2F11212	area	area	sfCrosses	refuted
FF2F11212	area	area	sfDisjoint	refuted
FF2F11212	area	area	sfEquals	refuted
FF2F11212	area	area	sfIntersects	entailed
FF2F11212	area	area	sfOverlaps	refuted
FF2F11212	area	area	sfTouches	entailed
FF2F11212	area	area	sfWithin	refuted
FF2F112F2	area	area	sfContains	refuted
FF2F112F2	area	area	sfCrosses	refuted
FF2F112F2	area	area	sfDisjoint	refuted
FF2F112F2	area	area	sfEquals	refuted
FF2F112F2	area	area	sfIntersects	entailed
FF2F112F2	area	area	sfOverlaps	refuted
FF2F112F2	area	area	sfTouches	entailed
FF2F112F2	area	area	sfWithin	refuted
FF2F1F212	area	area	sfContains	refuted
FF2F1F212	area	area	sfCrosses	refuted
FF2F1F212	area	area	sfDisjoint	refuted
FF2F1F212	area	area	sfEquals	refuted
FF2F1F212	area	area	sfIntersects	entailed
FF2F1F212	area	area	sfOverlaps	refuted
FF2F1F212	area	area	sfTouches	entailed
FF2F1F212	area	area	sfWithin	refuted
